Date,Close,High,Low,Open,Volume
10/5/2021,137.7533264,138.8564511,136.0449548,136.1718672,80861100
10/6/2021,138.6221619,138.7685878,135.0785061,136.1523457,83221100
10/7/2021,139.8814392,140.7893243,139.325006,139.6569146,61732700
10/8/2021,139.5007477,140.7502984,139.168839,140.6038725,58773200
10/11/2021,139.4128723,141.3652969,138.43666,138.8857242,64452200
10/12/2021,138.1438293,139.8424445,137.6850083,139.8229161,73035900
10/13/2021,137.5580902,138.0364247,135.8887605,137.8802421,78762700
10/14/2021,140.340271,140.4574266,138.1437934,138.7295267,69907100
10/15/2021,141.3945923,141.4531626,140.0962281,140.3500528,67940300
10/18/2021,143.0639191,143.3470141,139.7545599,140.0376549,85589200
10/19/2021,145.2213135,145.621564,143.063893,143.5129422,76378900
10/20/2021,145.7094727,146.1878221,144.596591,145.162796,58418800
10/21/2021,145.9242096,146.0804071,144.3525072,145.2701491,61421000
10/22/2021,145.1529999,146.6075466,145.1041863,146.1292121,58883400
10/25/2021,145.1042175,145.8168484,144.1084767,145.1432595,50720600
10/26/2021,145.7680206,147.2518525,145.4653823,145.7777774,60893400
10/27/2021,145.3091888,146.1682454,144.9577519,145.8070517,56094900
10/28/2021,148.9407043,149.5264227,146.1584936,146.2561208,100077900
10/29/2021,146.2365875,146.3732566,142.9272288,143.7179583,124953200
11/1/2021,145.4165955,146.1389831,144.2841856,145.4458806,74588300
11/2/2021,146.451355,147.9644868,145.1139342,145.1237058,69122000
11/3/2021,147.8863983,148.354976,146.2561257,146.8125589,54511500
11/4/2021,147.3690338,148.8040524,147.0566387,147.9742807,60394600
11/5/2021,147.8969421,148.7963665,146.7042237,148.4933014,65463900
11/8/2021,147.0757141,148.1804487,146.8019769,148.0240232,55020900
11/9/2021,147.4374542,148.0435845,146.7042264,146.841095,56787900
11/10/2021,144.6120605,146.7726448,144.5436337,146.6651042,65187100
11/11/2021,144.5632019,146.0883135,144.3774485,145.6288377,41000000
11/12/2021,146.6357727,147.0365925,144.1818944,145.1106465,63804000
11/15/2021,146.6455536,148.483516,146.0882933,147.0072745,59222800
11/16/2021,147.6231689,148.1022164,146.0002881,146.5868762,59256200
11/17/2021,150.0575104,151.5337369,147.6134178,147.6231888,88807000
11/18/2021,154.3395538,155.1216664,149.6273511,150.2725951,137827700
11/19/2021,156.9596863,157.419177,153.0295798,154.1245289,117305600
11/22/2021,157.4191132,161.9944471,157.3995562,158.0643422,117467900
11/23/2021,157.8003998,158.1816776,155.5029467,157.5168767,96041900
11/24/2021,158.3185577,158.5140822,156.0699894,157.1551672,69463600
11/26/2021,153.3032379,156.8618356,152.8633043,156.0015253,76959800
11/29/2021,156.6565704,157.5853227,155.2389847,155.806016,88748200
11/30/2021,161.6033936,161.8184749,156.3437019,156.4121436,174048100
12/1/2021,161.0852661,166.491598,160.8506278,163.7346543,152052500
12/2/2021,160.0978699,160.5280326,154.2711602,155.1901416,136739200
12/3/2021,158.2207947,161.2710328,156.1482087,160.3520514,118023100
12/6/2021,161.6230011,164.1257501,160.60625,160.616021,107497000
12/7/2021,167.3518982,167.742962,164.5754126,165.2988694,120405400
12/8/2021,171.1646729,172.0249981,166.8826184,168.2806469,116998900
12/9/2021,170.6563263,172.7973539,170.0306392,170.9985052,108923700
12/10/2021,175.4369659,175.6129484,170.7834189,171.2917944,115402700
12/13/2021,171.8099518,178.0570523,171.6046414,177.0696293,153237000
12/14/2021,170.4314575,173.7652032,168.3588719,171.3308818,139380400
12/15/2021,175.2903137,175.4858381,168.4566259,171.1940124,131063300
12/16/2021,168.4077454,177.0891668,166.9315189,175.2707613,150185800
12/17/2021,167.3128052,169.5907013,165.8952344,166.1298578,195432700
12/20/2021,165.9539337,166.7653745,163.7151508,164.5168057,107499100
12/21/2021,169.1214447,169.3267401,165.337979,167.7234159,91185900
12/22/2021,171.7121887,171.9272701,168.3002297,169.1703262,92135300
12/23/2021,172.3378754,172.8951357,171.3504672,171.9174986,68356600
12/27/2021,176.2972717,176.3852555,173.1101807,173.1297227,74919600
